operation_id,client_id,operation_type,asset_class,requested_amount,currency,request_date,settlement_date,current_status,current_stage,priority,responsible_team,last_update,completion_date,exception_flag,exception_type,severity,source_system,processing_time_hours,settlement_lead_time_days,sla_status,operational_risk,operation_category
WM00038,CLIENT0058,Fund Redemption,Fixed Income,53728.65,BRL,2026-09-03 10:34:09.042550,2026-09-04,Settled,Settlement,Normal,Middle Office,2026-09-03 20:34:09.042550,2026-09-05 15:34:09.042550,False,,,Trading Platform,10.0,0.56,Within SLA,Low,Completed
WM00039,CLIENT0063,Fund Redemption,Mutual Fund,1785856.35,BRL,2026-09-03 10:25:09.042550,2026-09-07,Settled,Settlement,Normal,Middle Office,2026-09-04 15:25:09.042550,2026-09-07 17:25:09.042550,False,,,Core Banking,29.0,3.57,Outside SLA,High,Completed
WM00040,CLIENT0032,Asset Transfer - External,Fixed Income,1603826.12,USD,2026-09-05 09:42:09.042550,2026-09-06,Completed,Closure,Normal,Middle Office,2026-09-08 02:42:09.042550,2026-09-10 13:42:09.042550,False,,,Trading Platform,65.0,0.6,Outside SLA,High,Completed
WM00041,CLIENT0067,Fund Redemption,Equity,1532798.3,USD,2026-08-31 09:10:09.042550,2026-09-02,Completed,Closure,Normal,Settlement,2026-09-01 21:10:09.042550,2026-09-04 17:10:09.042550,False,,,Trading Platform,36.0,1.62,Outside SLA,High,Completed
WM00042,CLIENT0082,Cash Transfer,Mutual Fund,281056.25,BRL,2026-08-23 04:30:09.042550,2026-08-26,Received,Request Received,Normal,Middle Office,2026-08-24 00:30:09.042550,,False,,,Custody System,20.0,2.81,Within SLA,Low,In Progress
WM00043,CLIENT0120,Asset Transfer - External,Mutual Fund,417634.61,USD,2026-08-27 07:34:09.042550,2026-09-01,Pending Approval,Approval,Medium,Middle Office,2026-08-27 10:34:09.042550,,False,,,Custody System,3.0,4.68,Within SLA,High,In Progress
WM00044,CLIENT0108,Cash Transfer,Cash,1600737.0,BRL,2026-08-14 06:32:09.042550,2026-08-18,Pending Settlement,Settlement,Medium,Middle Office,2026-08-15 11:32:09.042550,,False,,,Trading Platform,29.0,3.73,Outside SLA,High,In Progress
WM00045,CLIENT0033,Cash Transfer,Cash,58798.07,USD,2026-08-14 07:34:09.042550,2026-08-18,Settled,Settlement,Normal,Reconciliation,2026-08-14 11:34:09.042550,2026-08-16 15:34:09.042550,False,,,Core Banking,4.0,3.68,Within SLA,Low,Completed
WM00046,CLIENT0084,Fund Redemption,ETF,657057.38,USD,2026-08-18 08:24:09.042550,2026-08-19,Completed,Closure,Normal,Client Operations,2026-08-20 14:24:09.042550,2026-08-21 15:24:09.042550,False,,,Trading Platform,54.0,0.65,Outside SLA,High,Completed
WM00047,CLIENT0058,Portfolio Rebalancing,Mutual Fund,1563559.93,BRL,2026-08-29 02:00:09.042550,2026-09-03,Completed,Closure,Normal,Operations,2026-08-30 10:00:09.042550,2026-08-30 08:00:09.042550,False,,,Core Banking,32.0,4.92,Outside SLA,High,Completed
WM00048,CLIENT0145,Fund Redemption,ETF,1400432.62,USD,2026-09-02 03:28:09.042550,2026-09-04,Completed,Closure,Normal,Settlement,2026-09-02 18:28:09.042550,2026-09-06 05:28:09.042550,False,,,Core Banking,15.0,1.86,Within SLA,Low,Completed
WM00049,CLIENT0051,Fund Purchase,Cash,1382775.76,BRL,2026-08-17 10:14:09.042550,2026-08-20,Exception,Processing,High,Client Operations,2026-08-18 02:14:09.042550,,True,Insufficient Position,Critical,Custody System,16.0,2.57,Within SLA,Critical,Exception
WM00050,CLIENT0004,Asset Transfer - External,ETF,215550.05,USD,2026-08-25 09:40:09.042550,2026-08-28,Completed,Closure,Normal,Middle Office,2026-08-26 05:40:09.042550,2026-08-26 15:40:09.042550,False,,,Trading Platform,20.0,2.6,Within SLA,Low,Completed
WM00051,CLIENT0138,Asset Transfer - External,ETF,873971.11,USD,2026-08-30 11:30:09.042550,2026-09-04,Validation,Data Validation,Normal,Client Operations,2026-08-31 19:30:09.042550,,False,,,Core Banking,32.0,4.52,Outside SLA,High,In Progress
WM00052,CLIENT0146,Cash Transfer,ETF,676111.26,USD,2026-08-28 05:01:09.042550,2026-09-01,Processing,Processing,Normal,Client Operations,2026-08-29 05:01:09.042550,,False,,,Trading Platform,24.0,3.79,Within SLA,Low,In Progress
WM00053,CLIENT0071,Cash Transfer,Mutual Fund,1035671.37,BRL,2026-09-08 05:34:09.042550,2026-09-11,Pending Approval,Approval,Medium,Operations,2026-09-09 12:34:09.042550,,False,,,Custody System,31.0,2.77,Outside SLA,High,In Progress
WM00054,CLIENT0126,Asset Transfer - External,Mutual Fund,190641.43,BRL,2026-08-31 04:57:09.042550,2026-09-04,Pending Settlement,Settlement,Medium,Middle Office,2026-09-01 12:57:09.042550,,False,,,Trading Platform,32.0,3.79,Outside SLA,High,In Progress
WM00055,CLIENT0141,Asset Transfer - Internal,Equity,1407195.61,USD,2026-08-25 08:48:09.042550,2026-08-30,Completed,Closure,Normal,Client Operations,2026-08-26 17:48:09.042550,2026-08-28 15:48:09.042550,False,,,Core Banking,33.0,4.63,Outside SLA,High,Completed
WM00056,CLIENT0048,Fund Redemption,Fixed Income,1478516.28,USD,2026-08-20 06:20:09.042550,2026-08-25,Validation,Data Validation,Normal,Reconciliation,2026-08-23 02:20:09.042550,,False,,,Custody System,68.0,4.74,Outside SLA,High,In Progress
WM00057,CLIENT0093,Fund Redemption,Equity,33225.99,BRL,2026-08-17 04:31:09.042550,2026-08-19,Processing,Processing,Normal,Client Operations,2026-08-17 10:31:09.042550,,False,,,Core Banking,6.0,1.81,Within SLA,Low,In Progress
WM00058,CLIENT0147,Asset Transfer - Internal,ETF,960034.85,USD,2026-09-05 03:53:09.042550,2026-09-09,Reconciled,Reconciliation,Normal,Settlement,2026-09-05 10:53:09.042550,2026-09-06 04:53:09.042550,False,,,Trading Platform,7.0,3.84,Within SLA,Low,Completed
WM00059,CLIENT0019,Cash Transfer,Mutual Fund,307695.38,USD,2026-08-29 03:05:09.042550,2026-08-30,Exception,Processing,High,Settlement,2026-08-29 19:05:09.042550,,True,Insufficient Position,Critical,Custody System,16.0,0.87,Within SLA,Critical,Exception
WM00060,CLIENT0116,Asset Transfer - External,Equity,1721032.5,USD,2026-09-02 11:03:09.042550,2026-09-07,Completed,Closure,Normal,Client Operations,2026-09-02 19:03:09.042550,2026-09-04 18:03:09.042550,False,,,Custody System,8.0,4.54,Within SLA,Low,Completed
WM00061,CLIENT0041,Fund Redemption,Fixed Income,1106224.53,BRL,2026-08-17 04:53:09.042550,2026-08-19,Exception,Processing,High,Middle Office,2026-08-19 14:53:09.042550,,True,Approval Pending,Low,Custody System,58.0,1.8,Outside SLA,Critical,Exception
WM00062,CLIENT0019,Portfolio Rebalancing,Fixed Income,1848202.53,BRL,2026-08-23 01:27:09.042550,2026-08-26,Reconciled,Reconciliation,Normal,Middle Office,2026-08-23 16:27:09.042550,2026-08-26 09:27:09.042550,False,,,Custody System,15.0,2.94,Within SLA,Low,Completed
WM00063,CLIENT0019,Fund Purchase,Fixed Income,1586293.99,USD,2026-08-18 06:05:09.042550,2026-08-20,Pending Approval,Approval,Medium,Middle Office,2026-08-18 22:05:09.042550,,False,,,Trading Platform,16.0,1.75,Within SLA,High,In Progress
WM00064,CLIENT0113,Fund Purchase,Cash,84522.26,USD,2026-09-05 07:30:09.042550,2026-09-10,Completed,Closure,Normal,Client Operations,2026-09-06 16:30:09.042550,2026-09-10 15:30:09.042550,False,,,Core Banking,33.0,4.69,Outside SLA,High,Completed
WM00065,CLIENT0006,Portfolio Rebalancing,Equity,1154612.73,BRL,2026-09-13 12:06:09.042550,2026-09-18,Validation,Data Validation,Normal,Middle Office,2026-09-16 07:06:09.042550,,False,,,Custody System,67.0,4.5,Outside SLA,High,In Progress
WM00066,CLIENT0121,Asset Transfer - Internal,ETF,669950.25,BRL,2026-08-22 03:50:09.042550,2026-08-26,Settled,Settlement,Normal,Settlement,2026-08-23 22:50:09.042550,2026-08-26 05:50:09.042550,False,,,Trading Platform,43.0,3.84,Outside SLA,High,Completed
WM00067,CLIENT0023,Asset Transfer - Internal,Equity,649931.2,USD,2026-08-23 11:38:09.042550,2026-08-28,Completed,Closure,Normal,Reconciliation,2026-08-23 12:38:09.042550,2026-08-24 19:38:09.042550,False,,,Custody System,1.0,4.52,Within SLA,Low,Completed
WM00068,CLIENT0128,Portfolio Rebalancing,ETF,1521181.12,BRL,2026-08-28 07:16:09.042550,2026-08-30,Completed,Closure,Normal,Client Operations,2026-08-31 06:16:09.042550,2026-09-02 13:16:09.042550,False,,,Core Banking,71.0,1.7,Outside SLA,High,Completed
WM00069,CLIENT0041,Asset Transfer - Internal,Cash,32280.56,USD,2026-08-28 08:20:09.042550,2026-08-29,Completed,Closure,Normal,Operations,2026-08-29 13:20:09.042550,2026-09-02 12:20:09.042550,False,,,Core Banking,29.0,0.65,Outside SLA,High,Completed
WM00070,CLIENT0131,Portfolio Rebalancing,Equity,833903.23,USD,2026-08-17 12:06:09.042550,2026-08-19,Settled,Settlement,Normal,Middle Office,2026-08-18 20:06:09.042550,2026-08-21 17:06:09.042550,False,,,Trading Platform,32.0,1.5,Outside SLA,High,Completed
WM00071,CLIENT0018,Asset Transfer - Internal,ETF,683051.11,USD,2026-08-26 05:11:09.042550,2026-08-31,Reconciled,Reconciliation,Normal,Operations,2026-08-27 18:11:09.042550,2026-08-31 08:11:09.042550,False,,,Custody System,37.0,4.78,Outside SLA,High,Completed
WM00072,CLIENT0039,Asset Transfer - External,Cash,971261.06,USD,2026-09-01 10:55:09.042550,2026-09-05,Processing,Processing,Normal,Reconciliation,2026-09-04 08:55:09.042550,,False,,,Trading Platform,70.0,3.55,Outside SLA,High,In Progress
WM00073,CLIENT0060,Asset Transfer - External,Mutual Fund,639761.77,USD,2026-08-24 04:57:09.042550,2026-08-26,Settled,Settlement,Normal,Middle Office,2026-08-26 06:57:09.042550,2026-08-29 11:57:09.042550,False,,,Custody System,50.0,1.79,Outside SLA,High,Completed
WM00074,CLIENT0026,Asset Transfer - External,Mutual Fund,1054272.42,USD,2026-09-03 03:44:09.042550,2026-09-04,Completed,Closure,Normal,Operations,2026-09-03 22:44:09.042550,2026-09-05 09:44:09.042550,False,,,Trading Platform,19.0,0.84,Within SLA,Low,Completed
WM00075,CLIENT0021,Asset Transfer - Internal,Cash,763118.75,USD,2026-08-18 02:43:09.042550,2026-08-21,Completed,Closure,Normal,Middle Office,2026-08-21 00:43:09.042550,2026-08-21 09:43:09.042550,False,,,Core Banking,70.0,2.89,Outside SLA,High,Completed
WM00076,CLIENT0112,Fund Purchase,Mutual Fund,890138.71,USD,2026-08-21 11:56:09.042550,2026-08-24,Completed,Closure,Normal,Operations,2026-08-21 17:56:09.042550,2026-08-23 13:56:09.042550,False,,,Trading Platform,6.0,2.5,Within SLA,Low,Completed
WM00077,CLIENT0136,Asset Transfer - External,Cash,1365191.74,BRL,2026-08-23 06:36:09.042550,2026-08-27,Completed,Closure,Normal,Settlement,2026-08-24 05:36:09.042550,2026-08-25 10:36:09.042550,False,,,Core Banking,23.0,3.72,Within SLA,Low,Completed
WM00078,CLIENT0060,Asset Transfer - External,Equity,921843.15,BRL,2026-08-26 10:56:09.042550,2026-08-28,Reconciled,Reconciliation,Normal,Middle Office,2026-08-27 23:56:09.042550,2026-08-30 13:56:09.042550,False,,,Custody System,37.0,1.54,Outside SLA,High,Completed
WM00079,CLIENT0065,Asset Transfer - External,Equity,402437.91,USD,2026-08-16 08:35:09.042550,2026-08-21,Reconciled,Reconciliation,Normal,Middle Office,2026-08-16 22:35:09.042550,2026-08-19 15:35:09.042550,False,,,Core Banking,14.0,4.64,Within SLA,Low,Completed
WM00080,CLIENT0006,Portfolio Rebalancing,ETF,552588.36,BRL,2026-08-25 10:31:09.042550,2026-08-28,Pending Settlement,Settlement,Medium,Reconciliation,2026-08-28 02:31:09.042550,,False,,,Trading Platform,64.0,2.56,Outside SLA,High,In Progress
WM00081,CLIENT0065,Portfolio Rebalancing,Fixed Income,1258354.97,BRL,2026-08-21 11:04:09.042550,2026-08-24,Completed,Closure,Normal,Client Operations,2026-08-23 20:04:09.042550,2026-08-23 15:04:09.042550,False,,,Core Banking,57.0,2.54,Outside SLA,High,Completed
WM00082,CLIENT0045,Fund Redemption,Fixed Income,1574093.06,USD,2026-09-06 03:18:09.042550,2026-09-09,Reconciled,Reconciliation,Normal,Reconciliation,2026-09-08 20:18:09.042550,2026-09-09 10:18:09.042550,False,,,Trading Platform,65.0,2.86,Outside SLA,High,Completed
WM00083,CLIENT0120,Fund Purchase,Fixed Income,1509532.23,BRL,2026-08-22 09:04:09.042550,2026-08-25,Completed,Closure,Normal,Middle Office,2026-08-25 09:04:09.042550,2026-08-25 11:04:09.042550,False,,,Trading Platform,72.0,2.62,Outside SLA,High,Completed
WM00084,CLIENT0032,Asset Transfer - External,Equity,1347292.62,USD,2026-08-26 01:29:09.042550,2026-08-31,Validation,Data Validation,Normal,Reconciliation,2026-08-28 02:29:09.042550,,False,,,Custody System,49.0,4.94,Outside SLA,High,In Progress
WM00085,CLIENT0057,Portfolio Rebalancing,Mutual Fund,1272630.83,USD,2026-08-17 11:27:09.042550,2026-08-21,Exception,Processing,Critical,Middle Office,2026-08-18 02:27:09.042550,,True,Missing Documentation,High,Core Banking,15.0,3.52,Within SLA,Critical,Exception
WM00086,CLIENT0025,Fund Redemption,Cash,275649.78,USD,2026-08-15 05:44:09.042550,2026-08-16,Received,Request Received,Normal,Client Operations,2026-08-18 03:44:09.042550,,False,,,Trading Platform,70.0,0.76,Outside SLA,High,In Progress
WM00087,CLIENT0105,Asset Transfer - Internal,Mutual Fund,1382109.92,BRL,2026-09-06 04:09:09.042550,2026-09-10,Reconciled,Reconciliation,Normal,Middle Office,2026-09-08 13:09:09.042550,2026-09-07 12:09:09.042550,False,,,Core Banking,57.0,3.83,Outside SLA,High,Completed
WM00088,CLIENT0102,Asset Transfer - Internal,Fixed Income,1936572.72,USD,2026-08-17 11:36:09.042550,2026-08-22,Completed,Closure,Normal,Operations,2026-08-18 15:36:09.042550,2026-08-20 12:36:09.042550,False,,,Custody System,28.0,4.52,Outside SLA,High,Completed
WM00089,CLIENT0145,Fund Redemption,Mutual Fund,1660486.59,BRL,2026-08-14 02:03:09.042550,2026-08-17,Completed,Closure,Normal,Reconciliation,2026-08-15 06:03:09.042550,2026-08-16 05:03:09.042550,False,,,Core Banking,28.0,2.91,Outside SLA,High,Completed
WM00090,CLIENT0038,Fund Redemption,Cash,505055.12,BRL,2026-08-18 10:13:09.042550,2026-08-21,Processing,Processing,Normal,Operations,2026-08-18 14:13:09.042550,,False,,,Core Banking,4.0,2.57,Within SLA,Low,In Progress
WM00091,CLIENT0005,Fund Redemption,Equity,109536.04,USD,2026-09-08 04:50:09.042550,2026-09-11,Received,Request Received,Normal,Reconciliation,2026-09-08 19:50:09.042550,,False,,,Custody System,15.0,2.8,Within SLA,Low,In Progress
WM00092,CLIENT0028,Asset Transfer - External,Cash,446991.76,BRL,2026-08-28 06:45:09.042550,2026-09-02,Received,Request Received,Normal,Reconciliation,2026-08-29 21:45:09.042550,,False,,,Trading Platform,39.0,4.72,Outside SLA,High,In Progress
WM00093,CLIENT0126,Portfolio Rebalancing,ETF,151613.98,BRL,2026-08-14 01:43:09.042550,2026-08-18,Completed,Closure,Normal,Client Operations,2026-08-14 20:43:09.042550,2026-08-18 03:43:09.042550,False,,,Core Banking,19.0,3.93,Within SLA,Low,Completed
WM00094,CLIENT0084,Asset Transfer - External,Cash,1063460.89,USD,2026-09-02 11:50:09.042550,2026-09-07,Validation,Data Validation,Normal,Reconciliation,2026-09-04 19:50:09.042550,,False,,,Core Banking,56.0,4.51,Outside SLA,High,In Progress
WM00095,CLIENT0116,Fund Redemption,ETF,681168.58,USD,2026-08-17 11:54:09.042550,2026-08-22,Completed,Closure,Normal,Middle Office,2026-08-19 17:54:09.042550,2026-08-19 18:54:09.042550,False,,,Custody System,54.0,4.5,Outside SLA,High,Completed
WM00096,CLIENT0096,Fund Redemption,ETF,138930.95,BRL,2026-08-27 06:55:09.042550,2026-08-30,Validation,Data Validation,Normal,Operations,2026-08-29 14:55:09.042550,,False,,,Core Banking,56.0,2.71,Outside SLA,High,In Progress
WM00097,CLIENT0032,Asset Transfer - External,Equity,1747846.71,USD,2026-08-25 03:48:09.042550,2026-08-26,Completed,Closure,Normal,Operations,2026-08-26 16:48:09.042550,2026-08-30 09:48:09.042550,False,,,Custody System,37.0,0.84,Outside SLA,High,Completed
WM00098,CLIENT0040,Portfolio Rebalancing,ETF,452368.51,BRL,2026-08-17 10:45:09.042550,2026-08-19,Processing,Processing,Normal,Client Operations,2026-08-20 10:45:09.042550,,False,,,Trading Platform,72.0,1.55,Outside SLA,High,In Progress
WM00099,CLIENT0144,Cash Transfer,Cash,1351578.54,BRL,2026-08-22 10:27:09.042550,2026-08-26,Validation,Data Validation,Normal,Reconciliation,2026-08-23 21:27:09.042550,,False,,,Core Banking,35.0,3.56,Outside SLA,High,In Progress
WM00100,CLIENT0090,Fund Purchase,Fixed Income,1740376.1,USD,2026-09-05 06:11:09.042550,2026-09-08,Pending Approval,Approval,Medium,Operations,2026-09-06 01:11:09.042550,,False,,,Custody System,19.0,2.74,Within SLA,High,In Progress
WM00101,CLIENT0108,Asset Transfer - External,Equity,319031.51,USD,2026-08-14 03:00:09.042550,2026-08-19,Completed,Closure,Normal,Client Operations,2026-08-14 14:00:09.042550,2026-08-16 10:00:09.042550,False,,,Core Banking,11.0,4.87,Within SLA,Low,Completed
